"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Luis Cessa","CIN","1","3","0","5","5","21.2","3.74","3.74","1.25",".404","58.0%","37.4%","12.5%","92.3","9.55","9.38","5.74","5.69","0.1","13345","570666"
"Danny Young","ATL","0","0","0","4","0","3.2","14.73","0.00","0.00",".429","80.0%","28.6%","0.0%","","2.45","2.80","1.75","3.04","0.1","18439","664849"
"Josh Taylor","KCR","0","0","0","6","0","8.0","15.75","1.13","2.25",".231","93.8%","60.0%","50.0%","92.8","3.38","2.14","3.51","1.05","0.1","17359","657031"
"Braden Bristo","TBR","0","0","1","1","0","3.0","12.00","3.00","0.00",".000","100.0%","20.0%","0.0%","","0.00","0.88","1.72","3.83","0.1","20494","668754"
"Aaron Bummer","CHW","1","1","0","13","0","9.1","8.68","6.75","0.00",".379","47.4%","55.2%","0.0%","","9.64","5.36","4.03","5.05","0.1","16258","607481"
"Tyler Holton","DET","0","0","0","5","0","9.2","6.52","0.93","0.93",".083","76.9%","64.0%","14.3%","91.6","1.86","1.55","3.59","3.39","0.1","26231","663947"
"Sam Moll","OAK","0","2","0","14","0","10.1","8.71","5.23","0.00",".095","54.5%","52.4%","0.0%","94.4","3.48","3.68","4.06","5.14","0.1","14874","594580"
"George Soriano","MIA","0","0","0","3","0","7.0","3.86","2.57","0.00",".280","66.7%","36.0%","0.0%","95.5","2.57","4.63","3.38","5.42","0.1","21863","666277"
"Jesse Scholtens","CHW","0","1","0","2","0","3.0","12.00","6.00","0.00",".444","66.7%","37.5%","0.0%","92.8","3.00","4.15","2.72","4.30","0.1","19205","669947"
"Packy Naughton","STL","0","0","0","4","0","5.0","9.00","1.80","0.00",".182","100.0%","63.6%","0.0%","93.8","0.00","2.71","1.98","2.93","0.1","23292","676050"
"Daniel Bard","COL","0","0","0","4","0","4.1","6.23","4.15","0.00",".167","100.0%","41.7%","0.0%","","0.00","8.66","3.38","4.85","0.1","7115","453268"
