"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Colin Poche","TBR","0","0","0","5","0","4.1","6.23","2.08","2.08",".091","100.0%","16.7%","12.5%","93.7","2.08","","5.41","4.92","-0.1","19403"
"Clarke Schmidt","NYY","2","2","0","4","0","8.1","8.64","4.32","1.08",".158","92.1%","55.0%","20.0%","94.7","1.08","","4.54","3.80","-0.1","19899"
"Phillip Diehl","CIN","0","0","0","3","0","4.0","4.50","6.75","2.25",".333","52.6%","25.0%","11.1%","91.5","11.25","","7.60","7.41","-0.1","20030"
"Connor Brogdon","PHI","0","0","0","3","0","2.0","4.50","0.00","4.50",".429","76.9%","25.0%","25.0%","94.4","9.00","","8.60","4.82","-0.1","21205"
"Tanner Tully","CLE","0","0","0","1","0","2.0","0.00","4.50","4.50",".143","100.0%","25.0%","20.0%","91.6","4.50","","11.10","8.00","-0.1","19518"
"Luis Frias","ARI","0","0","0","2","0","2.1","7.71","15.43","0.00",".286","28.6%","14.3%","0.0%","96.8","19.29","","7.82","10.15","-0.1","21997"
"Chris Archer","MIN","0","0","0","4","4","15.1","8.22","5.28","1.76",".200","94.9%","37.2%","13.6%","93.7","2.93","","5.58","4.99","-0.1","6345"
"Hyun-Jin Ryu","TOR","0","0","0","2","2","7.1","6.14","2.45","2.45",".346","19.6%","53.6%","22.2%","89.5","13.50","","6.10","4.23","-0.1","14444"
"Blake Taylor","HOU","1","1","0","10","0","8.1","3.24","4.32","1.08",".148","100.0%","35.7%","9.1%","92.1","1.08","","5.38","5.62","-0.1","16418"
"Brent Suter","MIL","1","0","0","8","0","7.2","4.70","4.70","1.17",".296","60.3%","42.9%","16.7%","87.3","5.87","","5.32","4.69","-0.1","13942"
"Tyler Alexander","DET","0","3","0","4","4","12.1","6.57","3.65","2.19",".333","44.9%","34.1%","16.7%","90.1","8.76","","6.02","4.84","-0.1","17735"
"Kolby Allard","TEX","0","1","0","4","0","7.0","7.71","2.57","2.57",".263","64.5%","28.6%","25.0%","91.8","6.43","","5.96","3.80","-0.1","18694"
"Jordan Hicks","STL","1","2","0","5","3","12.1","9.49","5.84","1.46",".192","83.3%","64.3%","33.3%","98.0","3.65","","5.29","3.85","-0.1","19618"
"Jose Urena","MIL","0","0","0","4","0","7.2","3.52","5.87","1.17",".222","66.0%","42.9%","9.1%","96.2","3.52","","5.97","6.23","-0.1","11589"
"Austin Warren","LAA","3","0","0","7","0","8.1","5.40","5.40","1.08",".269","77.6%","37.5%","8.3%","94.9","4.32","","5.26","5.66","-0.1","24937"
"Dee Strange-Gordon","WSN","0","0","0","1","0","1.0","0.00","27.00","9.00",".333","65.2%","25.0%","33.3%","56.9","27.00","","28.10","19.18","-0.1","8203"
"Phil Maton","HOU","0","1","0","12","0","11.1","6.35","2.38","0.79",".314","79.5%","29.4%","8.3%","91.2","3.97","","4.69","4.98","-0.1","18064"
"Kyle Crick","CHW","1","0","0","7","0","6.0","7.50","10.50","0.00",".313","71.4%","31.3%","0.0%","92.7","6.00","","5.94","6.84","-0.1","13182"
"Kirk McCarty","CLE","0","0","0","1","0","3.0","9.00","6.00","6.00",".250","62.5%","30.0%","40.0%","92.0","12.00","","11.77","5.37","-0.1","20555"
"Art Warren","CIN","0","1","1","8","0","6.0","9.00","9.00","1.50",".389","63.5%","47.4%","20.0%","95.4","9.00","","6.27","5.24","-0.1","18251"
"Brian Moran","LAA","0","0","0","1","0","0.1","0.00","27.00","27.00",".667","76.9%","25.0%","100.0%","84.5","54.00","","51.10","16.18","-0.1","9646"
"Spencer Patton","TEX","0","0","0","7","0","7.0","6.43","3.86","1.29",".167","78.9%","52.6%","14.3%","92.4","3.86","","5.68","5.18","-0.1","12361"
"Wil Myers","SDP","0","0","0","1","0","1.0","0.00","0.00","18.00",".000","100.0%","0.0%","40.0%","63.4","18.00","","29.10","9.89","-0.1","10047"
"Josh Sborz","TEX","0","0","0","4","0","4.0","11.25","4.50","4.50",".222","31.3%","27.3%","40.0%","96.7","11.25","","8.60","3.80","-0.1","18323"
"Bennett Sousa","CHW","1","0","0","10","0","8.0","5.63","4.50","1.13",".280","69.0%","38.5%","8.3%","93.9","5.63","","5.35","5.77","-0.1","21345"
"Oliver Perez","ARI","1","1","0","7","0","4.0","2.25","2.25","2.25",".350","11.6%","40.0%","11.1%","87.5","15.75","","7.35","7.16","-0.1","1514"
"Noe Ramirez","ARI","0","1","0","13","0","11.1","8.74","3.97","1.59",".310","63.4%","33.3%","14.3%","89.6","5.56","","5.05","4.43","-0.1","12800"
"Sam Clay","WSN","0","0","0","5","0","4.0","6.75","4.50","2.25",".182","45.5%","83.3%","50.0%","","11.25","","8.60","6.03","-0.1","16279"
"Ronald Bolanos","KCR","0","0","0","3","0","7.0","5.14","9.00","1.29",".304","88.2%","41.7%","10.0%","93.2","3.86","","6.82","6.90","-0.1","20041"
"Charlie Morton","ATL","1","3","0","5","5","23.2","6.85","5.32","1.14",".329","63.7%","38.5%","9.4%","95.0","6.85","","5.39","5.57","-0.1","4676"
"Bailey Falter","PHI","0","1","0","4","0","7.1","3.68","2.45","2.45",".250","83.3%","26.9%","15.4%","90.8","4.91","","6.65","5.51","-0.1","20070"
"J.B. Wendelken","ARI","0","1","0","7","0","8.1","4.32","3.24","1.08",".280","75.5%","53.8%","25.0%","93.9","4.32","","5.14","4.24","-0.1","14506"
"Mark Leiter","CHC","0","1","0","4","3","10.1","8.71","6.10","1.74",".310","61.7%","48.4%","20.0%","91.6","7.84","","6.01","4.81","-0.2","15551"
"Miguel Yajure","PIT","1","0","0","6","0","10.1","3.48","5.23","0.87",".375","48.7%","41.5%","6.3%","92.5","11.32","","5.91","6.76","-0.2","21111"
"Anthony Castro","CLE","0","0","0","5","0","4.0","11.25","2.25","4.50",".364","47.6%","30.8%","33.3%","94.4","6.75","","7.85","3.39","-0.2","19789"
"Hunter Greene","CIN","1","3","0","4","4","18.0","11.00","5.00","2.50",".298","73.9%","28.8%","19.2%","98.8","6.00","","6.10","4.45","-0.2","22182"
"Joan Adon","WSN","1","4","0","5","5","23.1","8.10","5.01","1.54",".314","63.2%","39.7%","13.8%","94.8","7.33","","5.59","5.05","-0.2","22925"
"Taylor Widener","ARI","0","0","0","3","0","3.0","6.00","3.00","3.00",".364","89.3%","16.7%","16.7%","93.9","6.00","","8.10","6.49","-0.2","19266"
"Garrett Richards","TEX","0","1","0","7","2","9.0","9.00","6.00","2.00",".200","87.0%","50.0%","22.2%","94.2","4.00","","5.99","4.46","-0.2","9784"
"Hansel Robles","BOS","1","1","1","10","0","10.1","8.71","3.48","1.74",".154","69.4%","32.1%","14.3%","96.4","1.74","","4.85","4.17","-0.2","11801"
"Sean Newcomb","- - -","0","0","0","5","0","7.1","7.36","6.14","2.45",".333","65.6%","34.6%","22.2%","95.1","8.59","","7.06","5.18","-0.2","16943"
"Matt Koch","SEA","0","0","0","4","0","4.1","6.23","2.08","4.15",".231","62.5%","20.0%","25.0%","94.0","8.31","","8.41","4.92","-0.2","13420"
"Dauri Moreta","CIN","0","0","0","12","0","12.1","9.49","4.38","2.19",".148","74.1%","16.7%","14.3%","95.6","5.11","","6.10","5.25","-0.2","21101"
"Emilio Pagan","MIN","0","1","2","7","0","6.2","12.15","9.45","1.35",".154","93.0%","38.5%","25.0%","95.0","2.70","","5.50","4.37","-0.2","14771"
"Jake Lemoine","OAK","0","0","0","7","0","11.1","7.15","3.97","1.59",".257","60.6%","40.5%","13.3%","93.4","5.56","","5.13","4.64","-0.2","19785"
"Beau Brieske","DET","0","1","0","2","2","10.0","5.40","3.60","2.70",".111","100.0%","33.3%","16.7%","94.7","3.60","","7.00","5.55","-0.2","26079"
"Dylan Coleman","KCR","0","1","0","11","0","9.1","12.54","6.75","1.93",".158","58.8%","14.3%","15.4%","97.7","2.89","","5.68","4.78","-0.2","22276"
"Sam Howard","PIT","0","0","0","3","0","2.0","4.50","18.00","4.50",".200","89.3%","33.3%","25.0%","91.8","9.00","","16.10","12.32","-0.2","16265"
"Jake McGee","SFG","1","1","2","8","0","7.2","3.52","4.70","1.17",".231","62.5%","25.9%","7.1%","93.8","5.87","","5.58","6.37","-0.2","7550"
"Ryan Yarbrough","TBR","0","0","0","1","1","2.1","7.71","11.57","3.86",".556","58.1%","30.0%","50.0%","86.8","19.29","","12.10","7.70","-0.2","16502"
"Huascar Ynoa","ATL","0","2","0","2","2","6.2","10.80","8.10","2.70",".429","49.3%","52.2%","33.3%","96.7","13.50","","7.30","4.63","-0.2","20468"
"Yusei Kikuchi","TOR","1","1","0","5","5","20.2","8.71","6.10","1.74",".255","72.0%","53.4%","22.2%","95.0","4.35","","5.72","4.38","-0.2","20633"
"Matt Barnes","BOS","0","2","1","10","0","8.1","6.48","5.40","1.08",".286","36.8%","41.4%","7.1%","94.2","8.64","","5.38","6.11","-0.2","12863"
"Robert Suarez","SDP","1","1","0","10","0","11.0","10.64","4.91","1.64",".182","68.6%","33.3%","22.2%","97.7","4.91","","5.01","3.76","-0.2","30115"
