Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Xander Bogaerts","SDP",155,665,19,83,58,19,0.084210526,0.165413533,0.154362416,0.3192389,0.285234899,0.350375939,0.439597315,0.34280783708830526,0.317,120.14230677139636,-0.9367947899736464,15.659022512473932,5.945124179124832,4.412105997284181,"Xander Bogaerts",12161,593428
"Will Smith","LAD",126,554,19,80,76,3,0.113718411,0.160649819,0.176724138,0.277173913,0.260775862,0.359205776,0.4375,0.3449234876079836,0.353,118.72108956391978,1.7074532159604132,14.557617486832664,10.249529838562012,4.354604447159305,"Will Smith",19197,669257
"Ha-Seong Kim","SDP",152,626,17,84,60,38,0.119808306,0.198083067,0.137546468,0.305970149,0.260223048,0.351046698,0.397769516,0.3300126030560463,0.312,111.56522586576668,4.8392527545802295,13.809331299088392,8.513659715652466,4.351366067838633,"Ha-Seong Kim",27506,673490
"James Outman","LAD",151,567,23,86,70,16,0.119929453,0.319223985,0.188405798,0.342756183,0.248447204,0.352733686,0.436853002,0.3443090801946687,0.326,118.30923136111281,5.225753599312156,18.08812261944974,6.156489729881287,4.3426518041181446,"James Outman",24770,681546
"Alex Bregman","HOU",161,724,25,103,98,3,0.127071823,0.120165745,0.178456592,0.26953125,0.262057877,0.363259668,0.440514469,0.3511629431079532,0.349,125.29071920413412,-5.099343283567578,16.840274465215824,2.031993120908737,4.334008504150159,"Alex Bregman",17678,608324
"Fernando Tatis Jr.","SDP",141,635,25,91,78,29,0.083464566,0.222047244,0.191304348,0.298543689,0.257391304,0.321766561,0.448695652,0.3317417867176164,0.368,112.72435653337207,3.495975836645812,13.50697323551292,8.322129726409912,4.332677077520012,"Fernando Tatis Jr.",19709,665487
"TJ Friedl","CIN",138,556,18,73,66,27,0.084532374,0.161870503,0.18852459,0.308093994,0.278688524,0.352189781,0.467213114,0.3526957512337721,0.29,116.44273932120781,8.959461487829685,20.286509909026954,4.031219899654388,4.312593906035969,"TJ Friedl",19522,670770
"Sean Murphy","ATL",108,438,21,65,68,0,0.111872146,0.223744292,0.227027027,0.285714285,0.251351351,0.365296803,0.478378378,0.36617263253421,0.395,129.17493340824106,-4.807874391786754,11.024708765871726,16.324429988861084,4.214215143046948,"Sean Murphy",19352,669221
"Ketel Marte","ARI",150,650,25,94,82,8,0.109230769,0.167692307,0.20913884,0.3,0.275922671,0.358461538,0.485061511,0.3608273203358238,0.342,126.77742679288426,-3.1598562276922166,18.405170021670664,1.4098419845104218,4.1827763472941655,"Ketel Marte",13613,606466
"Cody Bellinger","CHC",130,556,26,95,97,20,0.071942446,0.15647482,0.218436874,0.319095477,0.306613226,0.356115107,0.5250501,0.37021867707236983,0.331,134.26326382115974,2.797931002918631,26.401154333836505,-3.9243699312210083,4.129028035333078,"Cody Bellinger",15998,641355
"Jonah Heim","TEX",131,501,18,61,95,2,0.079840319,0.191616766,0.179431072,0.289017341,0.258205689,0.317365269,0.437636761,0.32387531699541816,0.326,103.10628651577983,0.045982659328728914,1.91068084384478,22.150060176849365,4.09606074526745,"Jonah Heim",16930,641680
"Christian Yelich","MIL",144,632,19,106,76,28,0.123417721,0.221518987,0.169090909,0.341836734,0.278181818,0.370253164,0.447272727,0.353433486366272,0.358,121.8194766067327,7.002652035560459,24.088211365224854,-4.607030153274536,4.088373167826588,"Christian Yelich",11477,592885
"Ozzie Albies","ATL",148,660,33,96,109,13,0.069696969,0.162121212,0.233221476,0.288793103,0.280201342,0.335866261,0.513422818,0.35837384158881697,0.342,123.94713837642801,4.5161246922798455,24.09849924565311,-5.930459976196289,4.052505354942303,"Ozzie Albies",16556,645277
"Jose Altuve","HOU",90,410,17,76,51,14,0.107317073,0.173170731,0.211111111,0.347985347,0.311111111,0.392682926,0.522222222,0.39297738409623867,0.336,154.27456771755232,-0.27516375901177526,26.387868646921877,0.2999829649925232,4.049798690793952,"Jose Altuve",5417,514888
"Michael Harris II","ATL",138,539,18,76,57,20,0.046382189,0.187384044,0.184158416,0.334190231,0.293069306,0.330855018,0.477227722,0.34472352887887087,0.355,114.796869127333,3.5652405568398535,13.446820571943062,7.403209924697876,3.90909916887607,"Michael Harris II",25931,671739
"Bryson Stott","PHI",151,640,15,78,62,31,0.0609375,0.15625,0.138461538,0.311715481,0.28034188,0.328638497,0.418803418,0.32291597669774835,0.309,101.06230650767026,5.302672117948532,6.145031873251193,10.931200504302979,3.875731572985996,"Bryson Stott",26294,681082
"Thairo Estrada","SFG",120,530,14,63,49,23,0.041509433,0.226415094,0.145454546,0.330578512,0.27070707,0.315094339,0.416161616,0.3163106311922488,0.293,100.91300248585131,4.791234569624066,5.390771062947048,15.284709572792053,3.861136325175872,"Thairo Estrada",16426,642731
"Bo Bichette","TOR",135,601,20,69,73,5,0.044925124,0.191347753,0.168126095,0.354691075,0.306479859,0.339434276,0.474605954,0.3494418534185248,0.361,124.64105552955466,-1.9280833336524665,15.816389033963908,2.305150032043457,3.842547972746523,"Bo Bichette",19612,666182
"Christian Walker","ARI",157,661,33,86,103,11,0.093797276,0.192133131,0.238831615,0.272093023,0.257731958,0.333333333,0.496563573,0.35104582253474986,0.342,120.22055586684004,0.67669793125242,17.236774616349017,-1.2463006973266602,3.838769489491992,"Christian Walker",13419,572233
"Chas McCormick","HOU",115,457,22,59,70,19,0.087527352,0.256017505,0.215880893,0.330827067,0.272952853,0.353070175,0.488833746,0.36204110896378233,0.345,132.83096376599542,1.7441140301525593,19.721607619755815,3.1602299213409424,3.829480135157039,"Chas McCormick",19599,676801
